ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,labPct,conPct,labPct15,conPct15,labChg,conChg,conLabSwing
E14000909,E12000004,Rutland and Melton,Leicestershire,East Midlands,England,County,09/06/2017 05:54,Con hold,Con,Lab,78463,57569,141,23104,36169,13065,4711,1869,1755,0,0,0,0,0,0,0,0,0,0.226945057,0.62827216,0.153526363,0.556434628,0.073418694,0.071837532,0.000790581
E14000910,E12000006,Saffron Walden,Essex,East,England,County,09/06/2017 03:47,Con hold,Con,Lab,83072,60911,197,24966,37629,12663,8528,2091,0,0,0,0,0,0,0,0,0,0,0.207893484,0.617770189,0.117975088,0.571999375,0.089918396,0.045770815,0.022073791
E14000911,E12000002,Salford and Eccles,Greater Manchester,North West,England,Borough,09/06/2017 02:57,Lab hold,Lab,Con,78080,47619,111,19132,12036,31168,1286,2320,809,0,0,0,0,0,0,0,0,0,0.654528655,0.252756253,0.493839717,0.203948129,0.160688937,0.048808124,0.055940407
E14000912,E12000009,Salisbury,Wiltshire,South West,England,County,09/06/2017 02:57,Con hold,Con,Lab,72892,53311,88,17333,30952,13619,5982,1191,1152,0,0,0,0,0,0,0,415,0,0.255463225,0.580593123,0.153259047,0.556000394,0.102204178,0.024592729,0.038805724
E14000913,E12000003,Scarborough and Whitby,North Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 02:52,Con hold,Con,Lab,73599,50449,74,3435,24401,20966,1354,1682,915,0,0,0,0,0,0,0,1131,0,0.41558802,0.483676584,0.301912482,0.431785333,0.113675537,0.051891252,0.030892143
E14000914,E12000003,Scunthorpe,Humberside,Yorkshire and The Humber,England,County,09/06/2017 04:01,Lab hold,Lab,Con,61578,40202,72,3431,17485,20916,554,1247,0,0,0,0,0,0,0,0,0,0,0.520272623,0.434928611,0.416691481,0.331853496,0.103581142,0.103075114,0.000253014
E14000915,E12000001,Sedgefield,Durham,North East,England,County,09/06/2017 03:08,Lab hold,Lab,Con,63889,41591,62,6059,16143,22202,797,1763,686,0,0,0,0,0,0,0,0,0,0.533817412,0.388136857,0.472027069,0.295278438,0.061790344,0.092858419,-0.015534038
E14000916,E12000002,Sefton Central,Merseyside,North West,England,County,09/06/2017 01:54,Lab hold,Lab,Con,69019,52079,128,15618,17212,32830,1381,0,656,0,0,0,0,0,0,0,0,0,0.630388448,0.330497897,0.537708329,0.296056792,0.092680119,0.034441105,0.029119507
E14000917,E12000003,Selby and Ainsty,North Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 03:20,Con hold,Con,Lab,75918,56076,145,13772,32921,19149,2293,1713,0,0,0,0,0,0,0,0,0,0,0.341482987,0.587078251,0.268313007,0.52505492,0.073169981,0.062023331,0.005573325
E14000918,E12000008,Sevenoaks,Kent,South East,England,County,09/06/2017 02:09,Con hold,Con,Lab,71565,51218,146,21917,32644,10727,4280,1894,1673,0,0,0,0,0,0,0,0,0,0.209438088,0.637354055,0.12864097,0.569208363,0.080797118,0.068145692,0.006325713
E14000921,E12000003,"Sheffield, Brightside and Hillsborough",South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 02:17,Lab hold,Lab,Con,70344,41870,70,19143,9050,28193,1061,2645,737,0,0,0,0,0,0,0,184,0,0.673346071,0.216145211,0.565825282,0.110029211,0.10752079,0.106116,0.000702395
E14000919,E12000003,Sheffield Central,South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 03:04,Lab hold,Lab,Con,77560,47877,137,27748,6215,33963,2465,1060,3848,0,0,0,0,0,0,0,326,0,0.709380287,0.129811809,0.550290902,0.11131234,0.159089385,0.018499469,0.070294958
E14000922,E12000003,"Sheffield, Hallam",South Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 02:48,Lab gain from LD,Lab,LD,73455,57020,89,2125,13561,21881,19756,929,823,0,0,0,0,0,0,0,70,0,0.383742546,0.237828832,0.357996431,0.135974478,0.025746115,0.101854354,-0.038054119
E14000923,E12000003,"Sheffield, Heeley",South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 02:29,Lab hold,Lab,Con,68040,44226,79,13828,12696,26524,2022,1977,943,0,0,0,0,0,0,0,64,0,0.599737711,0.287070954,0.48204433,0.16152968,0.117693381,0.125541273,-0.003923946
E14000920,E12000003,Sheffield South East,South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 02:36,Lab hold,Lab,Con,68945,43596,90,11798,13722,25520,1432,2820,0,0,0,0,0,0,0,0,102,0,0.585374805,0.314753647,0.514309704,0.173731558,0.071065101,0.141022089,-0.034978494
E14000924,E12000004,Sherwood,Nottinghamshire,East Midlands,England,County,09/06/2017 04:51,Con hold,Con,Lab,76196,53364,98,5198,27492,22294,1113,1801,664,0,0,0,0,0,0,0,0,0,0.417772281,0.515178772,0.358712375,0.450372796,0.059059906,0.064805976,-0.002873035
E14000925,E12000003,Shipley,West Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 04:22,Con hold,Con,Lab,73133,53395,138,4681,27417,22736,2202,0,0,0,0,0,0,0,0,0,1040,0,0.42580766,0.513475044,0.309544537,0.499960429,0.116263123,0.013514616,0.051374254
E14000926,E12000005,Shrewsbury and Atcham,Shropshire,West Midlands,England,County,09/06/2017 03:59,Con hold,Con,Lab,79043,58203,109,6627,29073,22446,4254,1363,1067,0,0,0,0,0,0,0,0,0,0.385650224,0.499510335,0.278418543,0.455214225,0.107231681,0.04429611,0.031467786
E14000927,E12000008,Sittingbourne and Sheppey,Kent,South East,England,County,09/06/2017 03:16,Con hold,Con,Lab,81717,51389,77,15211,30911,15700,1392,0,558,0,0,0,0,0,0,0,2828,0,0.305512853,0.601510051,0.195896958,0.494653489,0.109615895,0.106856561,0.001379667
E14000928,E12000003,Skipton and Ripon,North Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 04:44,Con hold,Con,Lab,78104,58138,186,19985,36425,16440,0,0,3734,0,0,0,0,0,0,0,1539,0,0.282775465,0.62652654,0.173885152,0.554408988,0.108890313,0.072117552,0.018386381
E14000929,E12000004,Sleaford and North Hykeham,Lincolnshire,East Midlands,England,County,09/06/2017 03:57,Con hold,Con,Lab,90929,65797,107,25237,42245,17008,2722,1954,968,0,0,0,0,0,0,0,900,0,0.258492029,0.642050549,0.172575229,0.561878471,0.085916799,0.080172079,0.00287236
